IDENTIFICATION (dénomination sociale);Nom commercial;Arrêté du;JORF - Date
KINOPRESSE;;2019-12-05;2019-12-12
KM PRESSE;-;2011-06-03;2011-06-12
LA SOCIETE D’INFORMATION ET DIFFUSION ID;-;1962-02-21;1962-03-02
LF PRODUCTION;*;2016-09-09;2016-09-21
MAGNUM PHOTOS;-;1962-02-26;1962-03-02
MELTING POT PRODUCTION;-;2010-03-18;2010-03-25
MICHEL BERNOUIN SASU;-;2017-10-04;2017-10-11
NAJA;-;1989-03-01;1989-04-11
Ô BOB;-;2014-03-11;2014-03-19
OBJECTIF UNE;-;2008-10-29;2009-02-24
OR MEDIAS;-;2016-02-19;2016-02-27
PEYRE ARSE PRESSE;-;2006-06-01;2006-06-29
PIMENTS POURPRES PRODUCTIONS;-;2012-08-27;2012-09-08
PRESSE-SPORTS;-;1962-02-21;1962-03-02
PRODINFO;-;2012-08-27;2012-09-08
RADIO CARAÏBES INTERNATIONAL NEWS;RCI NEWS;2009-04-30;2009-05-12
RELAXNEWS;-;2001-06-06;2001-06-16
ROSEBUD PRODUCTIONS;-;2013-07-08;2013-07-17
SIPA PRESS;-;1974-10-16;1974-11-08
TOPSUD;-;2001-11-30;2001-12-12
UPSIDE;UPSIDE TELEVISION;1998-10-08;1998-10-22
WILD ANGLE PRODUCTIONS;-;2009-02-26;2009-03-06
YEMAYA;-;2010-10-16;2011-04-03
